,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2004-01-04 00:00:00,1.46527618,1.0935803796984136,1.8959250389965099,1.46527618,1.46527618,0.011888307686341837,0.011888307686341837,0.011888307686341837,0.02491705289800427,0.02491705289800427,0.02491705289800427,-0.01302874521166244,-0.01302874521166244,-0.01302874521166244,0.0,0.0,0.0,1.477164487686342
1,2004-01-04 01:00:00,1.4650342043508542,1.1051077811296826,1.8628047136398513,1.4650342043508542,1.4650342043508542,0.012601461018508925,0.012601461018508925,0.012601461018508925,0.025193139712406408,0.025193139712406408,0.025193139712406408,-0.012591678693897485,-0.012591678693897485,-0.012591678693897485,0.0,0.0,0.0,1.4776356653693632
2,2004-01-04 02:00:00,1.4647922287017083,1.0849854420108023,1.8962133969793469,1.4647922287017083,1.4647922287017083,0.010793935882970009,0.010793935882970009,0.010793935882970009,0.02296760520056638,0.02296760520056638,0.02296760520056638,-0.012173669317596376,-0.012173669317596376,-0.012173669317596376,0.0,0.0,0.0,1.4755861645846784
3,2004-01-04 03:00:00,1.4645502530525625,1.0787681323167118,1.879998890678605,1.4645502530525625,1.4645502530525625,0.005893664441963571,0.005893664441963571,0.005893664441963571,0.01769530067618678,0.01769530067618678,0.01769530067618678,-0.011801636234223206,-0.011801636234223206,-0.011801636234223206,0.0,0.0,0.0,1.470443917494526
4,2004-01-04 04:00:00,1.464308277403417,1.0665158055603383,1.836026902738974,1.464308277403417,1.464308277403417,-0.0003167716166806866,-0.0003167716166806866,-0.0003167716166806866,0.011184883776821107,0.011184883776821107,0.011184883776821107,-0.011501655393501788,-0.011501655393501788,-0.011501655393501788,0.0,0.0,0.0,1.4639915057867363
5,2004-01-04 05:00:00,1.4640663017542712,1.0700384741899258,1.81231012405471,1.4640663017542712,1.4640663017542712,-0.004616555861913632,-0.004616555861913632,-0.004616555861913632,0.006682017277602677,0.006682017277602677,0.006682017277602677,-0.011298573139516313,-0.011298573139516313,-0.011298573139516313,0.0,0.0,0.0,1.4594497458923577
6,2004-01-04 06:00:00,1.4638243261051254,1.0534562260768063,1.8647022723620748,1.4638243261051254,1.4638243261051254,-0.0047726483615500095,-0.0047726483615500095,-0.0047726483615500095,0.006442987446989639,0.006442987446989639,0.006442987446989639,-0.011215635808539652,-0.011215635808539652,-0.011215635808539652,0.0,0.0,0.0,1.4590516777435754
7,2004-01-04 07:00:00,1.4635823504559795,1.0688818583249067,1.8765920419086795,1.4635823504559795,1.4635823504559795,-0.0014625805753330343,-0.0014625805753330343,-0.0014625805753330343,0.009811559648809235,0.009811559648809235,0.009811559648809235,-0.011274140224142271,-0.011274140224142271,-0.011274140224142271,0.0,0.0,0.0,1.4621197698806465
8,2004-01-04 08:00:00,1.4633403748068337,1.0970295461804414,1.8512520774025145,1.4633403748068337,1.4633403748068337,0.001903539660124421,0.001903539660124421,0.001903539660124421,0.013396649384697937,0.013396649384697937,0.013396649384697937,-0.011493109724573517,-0.011493109724573517,-0.011493109724573517,0.0,0.0,0.0,1.465243914466958
9,2004-01-04 09:00:00,1.4630983991576878,1.0899432285817496,1.8683041847446744,1.4630983991576878,1.4630983991576878,0.0012990616365563237,0.0012990616365563237,0.0012990616365563237,0.013188061666424602,0.013188061666424602,0.013188061666424602,-0.011889000029868278,-0.011889000029868278,-0.011889000029868278,0.0,0.0,0.0,1.464397460794244
10,2004-01-04 10:00:00,1.4628564235085422,1.075538550278017,1.8530364677793751,1.4628564235085422,1.4628564235085422,-0.005526688294095753,-0.005526688294095753,-0.005526688294095753,0.00694875058263984,0.00694875058263984,0.00694875058263984,-0.012475438876735594,-0.012475438876735594,-0.012475438876735594,0.0,0.0,0.0,1.4573297352144463
11,2004-01-04 11:00:00,1.4626144478593965,1.0498278450368421,1.83801000498181,1.4626144478593965,1.4626144478593965,-0.018022295830746004,-0.018022295830746004,-0.018022295830746004,-0.004759292910629371,-0.004759292910629371,-0.004759292910629371,-0.013263002920116632,-0.013263002920116632,-0.013263002920116632,0.0,0.0,0.0,1.4445921520286504
12,2004-01-04 12:00:00,1.4623724722102507,1.0633634270793182,1.8343985710708255,1.4623724722102507,1.4623724722102507,-0.03349410116372585,-0.03349410116372585,-0.03349410116372585,-0.019235066243777778,-0.019235066243777778,-0.019235066243777778,-0.014259034919948075,-0.014259034919948075,-0.014259034919948075,0.0,0.0,0.0,1.428878371046525
