ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-01-04 00:00:00,54.6234114,44.84026081270406,78.49312597180598,54.6234114,54.6234114,6.680909389592822,6.680909389592822,6.680909389592822,5.741789603007037,5.741789603007037,5.741789603007037,0.9391197865857845,0.9391197865857845,0.9391197865857845,0.0,0.0,0.0,61.30432078959282
2004-01-04 01:00:00,54.620992803018034,45.7539807245212,79.78890851888063,54.620992803018034,54.620992803018034,8.249330963709975,8.249330963709975,8.249330963709975,7.248783889552888,7.248783889552888,7.248783889552888,1.000547074157086,1.000547074157086,1.000547074157086,0.0,0.0,0.0,62.870323766728006
2004-01-04 02:00:00,54.61857420603607,46.21413432158263,80.85518617508264,54.61857420603607,54.61857420603607,9.518482320153028,9.518482320153028,9.518482320153028,8.459662385776241,8.459662385776241,8.459662385776241,1.058819934376786,1.058819934376786,1.058819934376786,0.0,0.0,0.0,64.1370565261891
2004-01-04 03:00:00,54.61615560905411,47.77392121082114,82.68848012068956,54.61615560905411,54.61615560905411,10.496665438341033,10.496665438341033,10.496665438341033,9.383574012036656,9.383574012036656,9.383574012036656,1.1130914263043783,1.1130914263043783,1.1130914263043783,0.0,0.0,0.0,65.11282104739514
2004-01-04 04:00:00,54.61373701207215,49.372627515431375,83.38699478396163,54.61373701207215,54.61373701207215,11.468219849293057,11.468219849293057,11.468219849293057,10.305687354735081,10.305687354735081,10.305687354735081,1.162532494557977,1.162532494557977,1.162532494557977,0.0,0.0,0.0,66.0819568613652
2004-01-04 05:00:00,54.61131841509018,50.407765033796615,84.47467619105612,54.61131841509018,54.61131841509018,12.529313268763191,12.529313268763191,12.529313268763191,11.322971294841825,11.322971294841825,11.322971294841825,1.2063419739213672,1.2063419739213672,1.2063419739213672,0.0,0.0,0.0,67.14063168385337
2004-01-04 06:00:00,54.60889981810822,50.599242688237446,83.95896542290525,54.60889981810822,54.60889981810822,13.146357068173964,13.146357068173964,13.146357068173964,11.902600666999838,11.902600666999838,11.902600666999838,1.243756401174126,1.243756401174126,1.243756401174126,0.0,0.0,0.0,67.75525688628218
2004-01-04 07:00:00,54.60648122112626,49.9676375706746,83.82787272019976,54.60648122112626,54.60648122112626,12.302038717161928,12.302038717161928,12.302038717161928,11.027979203086707,11.027979203086707,11.027979203086707,1.27405951407522,1.27405951407522,1.27405951407522,0.0,0.0,0.0,66.90851993828818
2004-01-04 08:00:00,54.6040626241443,46.13582187353817,81.2179151478184,54.6040626241443,54.6040626241443,9.248993754451577,9.248993754451577,9.248993754451577,7.952402434109928,7.952402434109928,7.952402434109928,1.2965913203416508,1.2965913203416508,1.2965913203416508,0.0,0.0,0.0,63.85305637859587
2004-01-04 09:00:00,54.60164402716233,41.7663373921071,77.63278192614955,54.60164402716233,54.60164402716233,4.2511080038564435,4.2511080038564435,4.2511080038564435,2.940351379750202,2.940351379750202,2.940351379750202,1.3107566241062416,1.3107566241062416,1.3107566241062416,0.0,0.0,0.0,58.852752031018774
2004-01-04 10:00:00,54.59922543018037,36.12207278171292,70.69444917422472,54.59922543018037,54.59922543018037,-1.3895531553523879,-1.3895531553523879,-1.3895531553523879,-2.7055860585914684,-2.7055860585914684,-2.7055860585914684,1.3160329032390805,1.3160329032390805,1.3160329032390805,0.0,0.0,0.0,53.20967227482798
2004-01-04 11:00:00,54.59680683319841,31.931947138666825,66.91306659928277,54.59680683319841,54.59680683319841,-6.119897036775726,-6.119897036775726,-6.119897036775726,-7.431874474881235,-7.431874474881235,-7.431874474881235,1.311977438105508,1.311977438105508,1.311977438105508,0.0,0.0,0.0,48.47690979642268
2004-01-04 12:00:00,54.594388236216446,27.64016980444439,62.58318940810221,54.594388236216446,54.594388236216446,-9.100265199967055,-9.100265199967055,-9.100265199967055,-10.398498800968508,-10.398498800968508,-10.398498800968508,1.2982336010014526,1.2982336010014526,1.2982336010014526,0.0,0.0,0.0,45.49412303624939
2004-01-04 13:00:00,54.59196963923448,27.168763760136716,61.12492513784972,54.59196963923448,54.59196963923448,-10.54229556860999,-10.54229556860999,-10.54229556860999,-11.816831793582862,-11.816831793582862,-11.816831793582862,1.2745362249728704,1.2745362249728704,1.2745362249728704,0.0,0.0,0.0,44.04967407062449
2004-01-04 14:00:00,54.589551042252516,26.905008653735297,61.22067589529773,54.589551042252516,54.589551042252516,-11.187989932925447,-11.187989932925447,-11.187989932925447,-12.428705914496078,-12.428705914496078,-12.428705914496078,1.2407159815706321,1.2407159815706321,1.2407159815706321,0.0,0.0,0.0,43.40156110932707
2004-01-04 15:00:00,54.587132445270555,25.486212193917062,60.376766828065634,54.587132445270555,54.587132445270555,-11.47074576542559,-11.47074576542559,-11.47074576542559,-12.667448474036663,-12.667448474036663,-12.667448474036663,1.1967027086110715,1.1967027086110715,1.1967027086110715,0.0,0.0,0.0,43.116386679844965
